,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
517,"PayPal
4.0",Data Scientist,"Chicago, IL","At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: As a Data Scientist at PayPal, you will apply your strategic data and analytical skills to solve major risk challenges in the Large Enterprise Seller Risk Organization
Job Description:
As a Data Scientist at PayPal, you will apply your strategic and analytical skills to solve major risk challenges. You will act as a risk consultant to drive recommendations and implement solutions that ultimately impact the top and bottom lines. And you will do it all by collaborating with a global team of colleagues across sales, operations, product, data science, and finance in an environment that values your risk domain and data expertise, encourages you to take on new responsibility, promotes continuous learning, and rewards innovation.
Your Day-to-day Will Involve
Using modeling and analytics to understand how risk decisions impact our top and bottom lines. This will include assessing risks of new/existing products, determining risk policies, or identifying inefficiencies in existing risk operations.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to monitor portfolio performance and identify improvement opportunities
Developing hypotheses and set up your own problem frameworks to test for the best solutions. You will also scope the operational feasibility, lead implementation efforts, and monitor the success of your solutions.
Leveraging data analysis tools and technologies. For example, using machine learning to determine how we identify and mitigate risk on the platform.
Creating new solutions rooted in empathy and research that assist all customers as they work to better manage their finances.
Collaborating in a team environment. As part of our crew, you will learn to energetically rally diverse groups in pursuit of a common goal.
The Ideal Candidate Is
Innovative & Curious - You have the desire and ability to connect and empathize with our customers. You have an entrepreneurial spirit and get excited about creating new businesses and reinventing current ones. You ask why, explore, and bring your unique perspective to the table.
Analytical & Action-Oriented - You are data driven and outcome focused. You grow comfortable with ambiguity, fueled by a hunger to learn and constantly seeking out new challenges. You have a desire to take action, try new things, and sometimes fail. You persevere but know when to change course and are up for juggling multiple deliverables.
Collaborative & Team-Oriented - You always keep the people around you in the loop and are excited to communicate complex ideas clearly to make sure your co-workers understand the “why” behind their work and their key priorities.
Inclusive - You will empathize with those around you and care about their success, as you bring people together around what’s possible.
Basic Qualifications
Bachelor’s degree or higher in a quantitative field (Business, Math, Economics, Finance, Statistics, Science, Engineering)
Minimum of 2-3 years of experience in the risk domain associated with payments, fintech, banking or the ecommerce industry
Experience with technical tools such as SQL, Python, Tableau
Our Benefits:

At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you.

We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com

Who We Are:

To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx

PayPal has remained at the forefront of the digital payment revolution for more than 20 years. By leveraging technology to make financial services and commerce more convenient, affordable, and secure, the PayPal platform is empowering more than 400 million consumers and merchants in more than 200 markets to join and thrive in the global economy. For more information, visit paypal.com.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com.
As part of PayPal’s commitment to employees’ health and safety, we have established in-office Covid-19 protocols and requirements, based on expert guidance. Depending on location, this might include a Covid-19 vaccination requirement for any employee whose role requires them to work onsite. Employees may request reasonable accommodation based on a medical condition or religious belief that prevents them from being vaccinated.
Start your job application: click Apply Now
Show Less","$109,837 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
518,"Cloud to Street
5.0",Climate Data Scientist,"Brooklyn, NY","Company
Cloud to Street is a top climate tech start-up and the world’s leading remote flood analytics platform. We use global satellites, AI, models, and community intelligence to monitor flood risk and flooding in real-time. Seeded by Google, our paradigm-shifting science made the cover of Nature and is the base for our property technology. Today, governments across almost 20 countries have used our platform for disaster relief and to protect over 300 million people. We launched the first commercial parametric flood insurance product to protect climate-vulnerable communities.
Role
We are looking for a climate data scientist with experience running data-driven (e.g. machine learning) or computational models. In this role, you will use satellite data, in-situ data and predictive modeling for actionable insights that can be used to ameliorate the impact of catastrophic flooding. You should apply if you are eager to develop scalable approaches to transfer disaster risk to insurance and capital markets and if you are excited to build an innovative and sustainable organization. You will work with a team of scientists and engineers with expertise in optical and microwave remote sensing, hydrology, climate, social vulnerability, and machine learning to build the next generation of tools to ensure financial protection from floods in marginalized communities.
Who you are
B.S in a quantitative field with 5+ years of experience, or M.S. with 2+ years of experience, or PhD with 0+ years of experience.
Expert level programming skills for environmental and climate modeling.
Experience merging dynamic models with data.
Apply machine learning, computational and/or statistical modeling for a diverse range of complex, high-dimensional problems.
Work in a wide range of interdisciplinary disciplines, with some experience in geophysical science.
Keep up with state-of-the-art modeling techniques, and identify practical approaches for scalable solutions to environmental problems.
Responsibilities
Research and development of innovative approaches to flood mapping, prioritizing scalability and reproducibility.
Communicating approaches, development and results to an interdisciplinary team.
Work closely with our interdisciplinary team of machine learning engineers, research scientists, and software developers.
Query, pre-process, inspect, and validate a diverse range of data sources, especially remotely sensed data, to inform and validate flood models.
This position is based out of our New York City office but is currently remote. Permanent remote work is possible for the right candidate.
To Apply
Attached CV/resume
A statement of interest including a description of relevant past projects or publications
Full-Time Team Benefits
Generous vacation package
Healthcare & dental insurance
Professional development fund
Equity
Paid parental leave
Work from home office support
Cloud to Street is devoted to building an inclusive and diverse company. Black, Indigenous, and people of color; women, queer people, and all gender identities, and individuals with disabilities are especially encouraged to apply.
Show Less","$105,732 /yr (est.)",1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
519,"Starz
2.9",Data Scientist,"New York, NY","Department: Business Development
Location: New York, NY, US, 10036
Summary of Position
Starz is seeking a Data Scientist to support data-driven decision-making for the StarzPlay international business. He or she will have responsibility for analysis of consumer, content, and product data, including the development of “data products” such as predictive models and segmentations. The ideal candidate is comfortable working with both large (e.g., event-level data warehouse tables) and small (e.g., marketing, research) data sets. He or she will have experience with a variety of data wrangling tools, modeling paradigms, optimization algorithms, and simulation methodologies. The Data Scientist understands how to use data science to support practical and actionable business insights.
Responsibilities
Lead efforts to develop advanced predictive models to reduce marketing costs, increase subscription lifetime value, understand content value, and optimize content investment decisions
Assess new data sources and data import processes for efficiency and accuracy
Evaluate accuracy and precision of predictive models and optimization algorithms provided by other analysts or third-parties
Support A/B testing and experimental design paradigms for optimizing marketing effectiveness, content engagement, and product experience
Develop processes for monitoring model performance and data accuracy
Establish departmental standards for data quality and KPI monitoring (including developing Tableau reports)
Qualifications & Skills
Exceptional knowledge of machine learning algorithms and tools (e.g., clustering, random forest, neural nets, boosting)
Familiarity with star schema databases, SQL, and Tableau
Solid foundation in statistics including regression, logistic regression, and statistical significance
Proficient in Python
Experience working with commonly-used third-party data such as Google Analytics, Facebook Insights, Qualtrics, etc.
Previous experience with media/entertainment and/or subscription businesses preferred but not required
Minimum of 5 years professional experience
Advanced degree in Data Science, Computer Science, Mathematics, Statistics, or similar

About Starz
STARZ (www.starz.com), a Lionsgate company, is a leading global media streaming platform committed to delivering premium content that amplifies narratives by, about and for women and underrepresented audiences. STARZ is home to the highly rated and first-of-its-kind STARZ app that offers the ability to stream or download STARZ premium content, as well as the flagship domestic STARZ® service, including STARZ ENCORE, 17 premium pay TV channels, and the associated on-demand and online services. In 2018, STARZ launched its international premium streaming platform STARZPLAY, now LIONSGATE+, to provide subscribers access to bold, curated storytelling. LIONSGATE+, coupled with the STARZPLAY ARABIA joint venture in MENA and Lionsgate Play in South and Southeast Asia, has a footprint that extends across the globe. STARZ and LIONSGATE+ are available across digital OTT platforms and multichannel video distributors, including cable operators, satellite television providers, and telecommunications companies around the world. In February 2021, STARZ launched #TakeTheLead, a multi-faceted and innovative inclusion initiative expanding its existing efforts to improve representation on screen, behind the camera and throughout the company.


With the Company aligning its studio operations behind the growth of its streaming business, Starz has become one of the pre-eminent modern premium global streaming platforms. Offering subscribers more than 7,500 television episodes, including Starz original series and provocative documentaries, along with a broad catalogue of first-run movies, Starz is taking the lead in delivering relatable premium content that makes it the platform of choice among a wide spectrum of female, African-American and other historically underserved audiences. Its focused brand, premium content and freedom from legacy relationships position Starz at the forefront of the new bundles emerging throughout the media ecosystem, a compelling value proposition to complement virtually every kind of subscription platform.


Distinguished by its successful and focused content strategy, top programming, exceptional curation and speed to market, Starz has quickly scaled its platform to become one of the most widely distributed and fastest-growing OTT services in the world, with OTT subscribers making up more than half of its global subscriber base. The Starzplay International premium subscription service offers a “best of global SVOD” content portfolio in more than 50 countries throughout Europe, Latin America, Canada, Japan and India through a bespoke and expanding network of distribution partners. The Starzplay Arabia joint venture is one of the leading SVOD operators in the fast-growing Middle East and North Africa region. The proprietary and highly-rated Starz app, a proven hit with U.S. audiences, continues to roll out internationally.
Our Benefits
Full Coverage – Medical, Vision, and Dental
Work/Life Balance – generous sick days, vacation days, holidays, and Impact Day
401(k) company matching
Tuition Reimbursement (up to graduate degree)

EEO Statement
Lionsgate is an equal employment opportunity employer. All employees and applicants are evaluated on the basis of their qualifications, consistent with applicable state and federal laws. In addition, Lionsgate will provide reasonable accommodations for qualified individuals with disabilities. Lionsgate will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable state and federal law.
Show Less","$105,016 /yr (est.)",501 to 1000 Employees,Subsidiary or Business Segment,Media & Communication,Broadcast Media,1994,$1 to $5 billion (USD)
520,"Delta
4.3","Associate Data Scientist, Operations Decision Science","Atlanta, GA","United States, Georgia, Atlanta
Ops Control
25-Oct-2022
Ref #: 17979
How you'll help us Keep Climbing (overview & key responsibilities)
Delta Air Lines connects the world by flying 180 million customers to 300+ destinations every year. At Operations Decision Science (ODS), we build and deploy data science and predictive modeling tools to support this complex operation. ODS currently seeks an Associate Data Scientist to develop insights, machine learning models, and solutions aimed at continually improving airline performance and decision making. Join our team to make a real-world impact by developing ML/AI solutions to deliver the best air travel experiences.
An appropriate candidate will have hands-on experience in machine learning, statistical analysis, and data storytelling. The candidate should have good organizational and communication skills and feel comfortable in a fast-paced environment.
Primary Functions:
Work within a team of data scientists to develop advanced analytics solutions for complex business problems
Collect data and perform explanatory data analysis
Present analysis to business users in a digestible way
Learn new techniques within cloud-based platforms

What you need to succeed (minimum qualifications)
Bachelor's degree with 1-2 years of experience in Data Science, Statistics, Mathematics, Operations Research, Computer Science, or equivalent combination of education and experience
Proficiency in working with relational databases (SQL)
Working knowledge of Machine Learning techniques (Python, SciKit Learn, R, SAS or other machine learning platforms)
Good written, oral communication, and interpersonal skills
Must be performing satisfactorily in present position
Where permitted by applicable law, must have received or be willing to receive the COVID-19 vaccine by date of hire to be considered for U.S.-based job, if not currently employed by Delta Air Lines, Inc.
Demonstrates that privacy is a priority when handling personal data.
Embraces a diverse set of people, thinking and styles.
Consistently makes safety and security, of self and others, the priority.
What will give you a competitive edge (preferred qualifications)
Master's Degree preferred
< Go back
Show Less","$103,268 /yr (est.)",10000+ Employees,Company - Public,Transportation & Logistics,"Airlines, Airports & Air Transportation",1928,$10+ billion (USD)
521,"Pathward
3.6",Data Scientist,Remote,"Job Responsibilities:
Manage data scientist and data specialist team.
Identify the efficient source for quality data collection,
Lead data collection and data mining processes.
Ensure and guarantee data integrity.
Analyze data and interpret data problems.
Plan project, prioritize and streamline all planned data projects.
Develop a proper analytic system according to the requirements.
Analyze and test the performance of the products.
Build reports on the visualization and performance of the products.
keep implementing new techniques and models.
Line up the data projects according to the goals of the company.


Job Skills:
Bachelor’s degree in Data Science, Computer Science, or other related fields.
Proven experience in Data Science and other related fields.
Good understanding o techniques of data management and visualization.
Expertise in statistical data analysis and predictive data modeling.
Good technical and coding knowledge of Python, R language, MATLAB, SQL, and other databases.
Outstanding communication skills.
Inspiring leadership qualities and organizational skills.
To apply to this job, click Easy Apply
Show Less",#N/A,1001 to 5000 Employees,Company - Public,Financial Services,Banking & Lending,1954,$100 to $500 million (USD)
522,"Booz Allen Hamilton
4.2","Tech Excellence Data Scientist, Junior","Alexandria, VA","The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open new opportunities. As an aspiring data scientist, you know you can help turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection to cancer research to national intelligence — you see data scientists turning data into actions and you want to be part of the team.

We have an opportunity for you to develop your analytical skills and establish your career in data science. You’ll join a rigorous training program that combines skills assessments, a comprehensive curriculum, functional mentorship, a capstone analytic challenge, and support to place you on your first data science project. You’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends, apply machine learning to train predictive models, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers that inform decisions. You’ll learn how to develop, implement, and support the usage of data visualization, configuration, deployment, and usage. Apply advanced consulting skills and extensive technical expertise in data visualization and storytelling and possess a full industry knowledge of tools and techniques to support the development and delivery of impactful data models and data visualizations. Equipped with the foundational data science skills to accelerate your career, you’ll join a team and apply those skills to support our clients’ critical national security missions. Embrace the challenge and join us in driving change through data science. This position is a hybrid role with a combination of working at a Booz Allen office or client site and working remotely.
Empower change with us.
You Have:
Experience with a programming language, including SQL, Python, or R
Experience with querying or analyzing data to answer questions and solve problems
Experience with Microsoft Excel
Knowledge of basic concepts in Mathematics and Statistics
Secret clearance
Bachelor's degree
Nice If You Have:
Experience with Tableau, Qlik, Power BI or other data visualization tools
Ability to learn a programming language
Ability to work in the cloud computing environment
Ability to work effectively in a collaborative team environment
Ability to pursue a career in data science
Bachelor's degree in Data Science, Mathematics, Engineering, Physics, Statistics, or Computer Science
Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.
Compensation:
At Booz Allen, we celebrate your contributions, provide you with opportunities and choice, and support your total well-being. Our comprehensive benefit offerings include healthcare, retirement plan, insurance programs, commuter program, employee assistance program, paid and unpaid leave programs, education assistance, and childcare benefits.
The salary for this position will be determined based on various factors. The proposed salary range for this position in Colorado is 80,000 to 90,000.
Build Your Career:
At Booz Allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you’ll have the chance to:
access online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk
change the world with the Data Science Bowl—the world’s premier data science for social good competition
participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government

You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications that directly impact your role? You may be able to take advantage of our tuition assistance, on-site bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want as you chart your own course for success.
We’re an equal employment opportunity/affirmative action employer that empowers our people to fearlessly drive change – no matter their race, color, ethnicity, religion, sex (including pregnancy, childbirth, lactation, or related medical conditions), national origin, ancestry, age, marital status, sexual orientation, gender identity and expression, disability, veteran status, military or uniformed service member status, genetic information, or any other status protected by applicable federal, state, local, or international law.
To apply to this job, click Apply Now
Show Less","$102,817 /yr (est.)",10000+ Employees,Company - Public,Management & Consulting,Business Consulting,1914,$5 to $10 billion (USD)
523,"Apple
4.2",Computer Vision Data Scientist,"Cupertino, CA","Summary
Posted: Apr 21, 2022
Role Number:200370492
Do you have a passion for computer vision and deep learning problems? We are looking for someone who thrives on collaboration and wants to push the boundaries of what is possible today! The Video Computer Vision org is a centralized applied research and engineering organization responsible for developing real-time on-device Computer Vision and Machine Perception technologies across Apple products. We balance research and product to deliver Apple quality, state-of-the-art experiences, innovating through the full stack, and partnering with HW, SW and ML teams to influence the sensor and silicon roadmap that brings our vision to life.
Key Qualifications
You're experienced with at least one programming/scripting language (e.g., Python, Scala, and/or Java).
Proficiency in at least one major machine learning framework such as Tensorflow
Extensive knowledge in machine learning and deep learning techniques
Have a big enough toolbox to know how to find patterns in data, identify targets for performance, and identify sources of variance about those targets.
have prior proven industry experience with large data sets using technologies like Hadoop, Hive, and Spark.
Use good judgment balancing art and science when visually communicating information (e.g. Tableau, Superset, ggplot, D3, matplotlib, plotly/bokeh).
You are self-motivated and curious with demonstrated creative and critical thinking capabilities and an innate drive to improve how things work.
You have a high tolerance for ambiguity. You find a way through. You anticipate. You connect and synthesize!
have excellent verbal and written communications skills and experience in influencing decisions with information.
Description
We work on complex problems in computer vision that require robust, efficient, well tested, and clean solutions. The ideal candidate will possess the self-motivation, curiosity, and initiative to achieve those goals. Analogously, the candidate is a lifelong learner who passionately seeks to improve themselves and the quality of their work. You will work together with similar minds in a unique team where your skills and expertise can be used to influence future user experiences and hardware that will be used by millions.
Education & Experience
PhD or MS in Computer Science, Statistics, Physics, Operations Research, or similar quantitative domain.
Additional Requirements
Apply Now: click Apply Now
Show Less",#N/A,10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1976,$10+ billion (USD)
524,"TrueChoice Solutions
4.0",(Jr) Quantitative Analyst / Data Scientist,"Vienna, NY","Company Overview:
TrueChoice Solutions is a privately held, rapidly growing Software as a Service (SaaS) company and is the leader in real-time preference analytics, headquartered in New York. We develop and deploy unique, sophisticated applications in marketing, sales and HR that give our clients insights about “how” and “why” customers and employees make decisions and what they value. Used by many forward-thinking FORTUNE Global 1000 clients, the TrueChoice™ Predictive Selling Suite is based on patented econometric technologies that for the first time allow companies to precisely quantify the preference structures of individual customers and employees in real time. Our clients use these insights to help increase sales, retention, and profitability. TrueChoice has strong partnerships with 6 of the world’s top 10 consulting firms. Our client base is diverse and includes large automotive companies to consumer electronics manufacturers and health care services companies. We have teams in Continental Europa, New York and Singapore.
‍
Position Overview:
TrueChoice Solutions is currently seeking a qualified candidate to fill the role of (Jr) Quantitative Analyst / Data Scientist within our growing organization. We are looking for a smart, inquisitive, and creative self-starter with a strong analytical and data science skillset and ideally with first experience in business analysis, consulting or project management. This is an exciting opportunity for a junior quantitative analyst / data scientist to be actively involved across projects and client work and take up more tasks and responsibilities as you grow your skillset.
Duties & Responsibilities:
Support the organization on all projects and tasks related to analytics, quantitative analyses and data science
Develop client-facing analytics dashboards
Execute various qualitative and quantitative business analysis tasks including data analysis, research and modeling
Collaborate across teams, senior management, business partners and clients at multiple projects simultaneously during research design, analytics and insights presentations
Contribute to workshops for project scoping and research requirements
Consult with clients on their strategic and business needs
Position Requirements
Bachelor's degree or higher in business, computer science, engineering, economics, mathematics, social sciences or related field with first (1+ year) experience and/or excellent university grades.
Experience with reporting and dashboard tools such as Spotfire, R Shiny, PowerBI, Tableau
Experience with SQL, R, Python. Experience with C# is an advantage
Experience with AI and Machine Learning
Strong analytical skills, preferably with experience in econometrics and/or conjoint analysis
Facility with enterprise software such as CRM Dynamics is an advantage
Evidence of an analytical mindset and solid business analysis capabilities
Aptitude for analytical & creative thinking and problem-solving; intellectually curious
Strong interpersonal, knowledge sharing, and written and oral communication skills
Benefits
Compensation:
We offer a competitive salary, generous benefits and flexible compensation with a cashbonus and stock options.
Preferred Location:
Anywhere, remote allowed. Preferably near Vienna (Austria), near New York or near Singapore
How to Apply:
Please send resumes to jobs@truechoice.io citing ""
(Jr) Quantitative Analyst / Data Scientist
"" in the subject line.
Show Less","$98,706 /yr (est.)",Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
525,"Amgen
4.1",Sr. Associate Data Scientist (Remote),"Thousand Oaks, CA","HOW MIGHT YOU DEFY IMAGINATION?
You’ve worked hard to become the professional you are today and are now ready to take the next step in your career. How will you put your skills, experience and passion to work toward your goals? At Amgen, our shared mission—to serve patients—drives all that we do. It is key to our becoming one of the world’s leading biotechnology companies, reaching over 10 million patients worldwide. Come do your best work alongside other innovative, driven professionals in this meaningful role.
Sr. Associate Data Scientist (Remote)
Live
What you will do
Let’s do this. Let’s change the world. Manufacturing and Clinical Supply (MCS) within Process Development is hiring a Sr. Associate Data Scientist to support its multiple digital data programs. MCS is responsible for the end-to-end delivery of products, process knowledge and technology solutions to enable Amgen’s accelerated product commercialization. MCS serves as a launch site to enable speed to market for Amgen’s innovative products and biosimilars. This person will build a wide-range of innovative data and analytics solutions, from descriptive to prescriptive, develop advanced analytical models, integrate data, derive insights, automate and enhance processes. The ideal candidate enjoys tackling business challenges and excels at organizing information from numerous data sources translating into business insights.
Responsibilities:
Leverage large datasets to conduct end-to-end supply chain and manufacturing analytics that include data gathering and requirements specifications, processing, analytics, and presentations
Understand and collect business/functional requirements, recommend metrics, and create a roadmap/timeline
Interact cross-functionally with a wide variety of people and teams. Work closely with subject matter experts to deliver value by developing novel, practical, scientific, data-driven solutions to meet business needs
Synthesize input into a prioritized feature list and build User Stories (requirements) for each feature
Build a wide range of data and analytics solutions, from descriptive to prescriptive, using sophisticated statistical and machine learning models
Prototype, build, and customize analytical applications to enable in-depth analysis
Define and create automated interactive dashboards and tools that turn data into business insights
Document data relations, data flows, and business logic
Partner with IS and Data Engineers to ensure that the models feeding the dashboards are robust, functional, and relevant to business needs
Ensures delivery of efficient, agile, integrated business and system processes while incorporating agile project management approaches
Win
What we expect of you
We are all different, yet we all use our unique contributions to serve patients. The dynamic professional we seek is an individual with these qualifications.
Basic Qualifications:
Master’s degree OR
Bachelor’s degree and 2 years of directly related experience OR
Associate’s degree and 6 years of directly related experience OR
High school diploma / GED and 8 years of directly related experience
Preferred Qualifications:
Expertise working with large data sets, data mining, and visualization
Expertise in Python and/or R and/or SQL programming languages
Understanding of biopharmaceuticals process and supply chain
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Independent, self-motivated, organized, able to multi-task in time-sensitive environments, and skilled in communication, facilitation, and collaboration
Familiarity with DevOps and software best practices (i.e., version control, continuous integration, test driven development)
Experience with interpreting and extracting meaning from different types of data sets
Excellent communication skills (written and verbal)
Must have a helpful personality and like to address challenges in a collaborative way
Thrive
Some of the vast rewards of working here
As we work to develop treatments that take care of others, we also work to care for our teammates’ professional and personal growth and well-being.
Full support and career-development resources to expand your skills, enhance your expertise, and maximize your potential along your career journey
A diverse and inclusive community of belonging, where teammates are empowered to bring ideas to the table and act
Generous Total Rewards Plan—comprising health, finance and wealth, work/life balance, and career benefits—with compensation and benefits rated above 4 stars (out of 5) on Glassdoor
Apply now
for a career that defies imagination
Objects in your future are closer than they appear. Join us.
careers.amgen.com

Join Us
If you're seeking a career where you can truly make a difference in the lives of others, a career where you can work at the absolute forefront of biotechnology with the top minds in the field, you'll find it at Amgen.
Amgen, a biotechnology pioneer, discovers, develops and delivers innovative human therapeutics. Our medicines have helped millions of patients in the fight against cancer, kidney disease, rheumatoid arthritis and other serious illnesses.
As an organization dedicated to improving the quality of life for people around the world, Amgen fosters an inclusive environment of diverse, ethical, committed and highly accomplished people who respect each other but compete intensely to win. Together, we live the Amgen values as we continue advancing science to serve patients.
Amgen is an Equal Opportunity employer and will consider all qualified applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.
Amgen requires all staff in the United States, Puerto Rico and Canada to be vaccinated from COVID 19 as a condition of employment. In accordance with applicable law, Amgen will provide reasonable accommodations to staff members who qualify on the basis of a medical reason or a sincerely held religious belief, practice, or observance. Such accommodation may not pose an undue hardship to Amgen, its operations, or its staff.
Apply Now: click Apply Now
Show Less","$93,901 /yr (est.)",10000+ Employees,Company - Public,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1980,$10+ billion (USD)
526,"STEPS TALENT, LLC0",Data Scientist - 3 positions - 100% remote,Remote,"We are looking to hire 3 Data Scientists to work on healthcare predictive analytics and infrastructure models using healthcare data.
Term - long-term contract with the potential of converting full-time.
Candidates can work remotely
Ideal Profile: PhD with 2-4 years of ML experience along with R/Python and SQL programming
Required Experience & Skills
Statistical analysis and Machine learning (NLP).
Candidate must have ability to understand results and write code that can perform analysis.
R and Python are used in this role, candidate must be proficient in either.
SQL is needed as well.
Candidate needs to be knowledgeable in relational database and knowledge of distributed computing and ability to work with large datasets.
Sound understanding of areas of computer science such as algorithms, data structures, and databases.
Candidate needs to have real world data experience (not just school).
Bachelors is needed for the role (PHD is preferred).
Preferred Skills
Experience in deploying models and working with large scale database and Microsoft Azure. Familiarity with healthcare data is a plus.
Job Type: Full-time
Pay: $55.00 - $75.00 per hour
Benefits:
Flexible schedule
Schedule:
Monday to Friday
Application Question(s):
Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?
Education:
Bachelor's (Required)
Experience:
Python: 4 years (Required)
SQL: 4 years (Required)
Statistical analysis: 4 years (Required)
Machine learning: 4 years (Required)
Data structures: 4 years (Required)
Work Location: Remote
Show Less",$65.00 /hr (est.),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
527,"i28 technologies corporation
4.2",Entry Level Data Scientist/AIML Engineer - 114009,"Marysville, MI","Interpret data, analyze results using Mathematical and satistical techniques.
Design, develop and implement data processing and analytics platform using Python
Develop predictive /prescriptive systems
Problem solving, improving data quality
Implement databases, data collection systems, data analytics
Identify, analyze, and interpret trends or patterns in data sets
Analytical and problem-solving skills
Job Type: Full-time
Salary: $55,000.00 - $60,000.00 per year
Benefits:
Health insurance
Schedule:
8 hour shift
Work Location: One location
Show Less","$57,500 /yr (est.)",1 to 50 Employees,Company - Private,Financial Services,Accounting & Tax,#N/A,Less than $1 million (USD)
